object_id,class,split,object_path
airplane_0001,airplane,train,airplane/train/airplane_0001.off
airplane_0002,airplane,train,airplane/train/airplane_0002.off
airplane_0003,airplane,train,airplane/train/airplane_0003.off
airplane_0004,airplane,train,airplane/train/airplane_0004.off
airplane_0005,airplane,train,airplane/train/airplane_0005.off
airplane_0006,airplane,train,airplane/train/airplane_0006.off
airplane_0007,airplane,train,airplane/train/airplane_0007.off
airplane_0008,airplane,train,airplane/train/airplane_0008.off
airplane_0009,airplane,train,airplane/train/airplane_0009.off
airplane_0010,airplane,train,airplane/train/airplane_0010.off
airplane_0011,airplane,train,airplane/train/airplane_0011.off
airplane_0012,airplane,train,airplane/train/airplane_0012.off
airplane_0013,airplane,train,airplane/train/airplane_0013.off
airplane_0014,airplane,train,airplane/train/airplane_0014.off
airplane_0015,airplane,train,airplane/train/airplane_0015.off
airplane_0627,airplane,test,airplane/test/airplane_0627.off
airplane_0628,airplane,test,airplane/test/airplane_0628.off
airplane_0629,airplane,test,airplane/test/airplane_0629.off
airplane_0630,airplane,test,airplane/test/airplane_0630.off
airplane_0631,airplane,test,airplane/test/airplane_0631.off
airplane_0632,airplane,test,airplane/test/airplane_0632.off
airplane_0633,airplane,test,airplane/test/airplane_0633.off
airplane_0634,airplane,test,airplane/test/airplane_0634.off
airplane_0635,airplane,test,airplane/test/airplane_0635.off
airplane_0636,airplane,test,airplane/test/airplane_0636.off
airplane_0637,airplane,test,airplane/test/airplane_0637.off
airplane_0638,airplane,test,airplane/test/airplane_0638.off
airplane_0639,airplane,test,airplane/test/airplane_0639.off
airplane_0640,airplane,test,airplane/test/airplane_0640.off
airplane_0641,airplane,test,airplane/test/airplane_0641.off
airplane_0642,airplane,test,airplane/test/airplane_0642.off
airplane_0643,airplane,test,airplane/test/airplane_0643.off
airplane_0644,airplane,test,airplane/test/airplane_0644.off
airplane_0645,airplane,test,airplane/test/airplane_0645.off
airplane_0646,airplane,test,airplane/test/airplane_0646.off
airplane_0647,airplane,test,airplane/test/airplane_0647.off
airplane_0648,airplane,test,airplane/test/airplane_0648.off
airplane_0649,airplane,test,airplane/test/airplane_0649.off
airplane_0650,airplane,test,airplane/test/airplane_0650.off
airplane_0651,airplane,test,airplane/test/airplane_0651.off
airplane_0652,airplane,test,airplane/test/airplane_0652.off
airplane_0653,airplane,test,airplane/test/airplane_0653.off
airplane_0654,airplane,test,airplane/test/airplane_0654.off
airplane_0655,airplane,test,airplane/test/airplane_0655.off
airplane_0656,airplane,test,airplane/test/airplane_0656.off
airplane_0657,airplane,test,airplane/test/airplane_0657.off
